epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03814,1.61985,4.02618,1.96333,0.00679,0.64722,0.06041,0.00788,1.77114,4.55115,2.29959,2e-05,2e-05,2e-05
2,1.7511,1.57666,4.01565,1.95073,0.00548,0.675,0.06275,0.00839,1.68373,4.51289,2.19647,4.9505e-05,4.9505e-05,4.9505e-05
3,2.49144,1.59158,4.07963,1.92325,0.00448,0.75833,0.06794,0.01696,1.5327,4.39525,1.95362,7.8416e-05,7.8416e-05,7.8416e-05
4,3.22375,1.37388,3.79537,1.66721,0.00484,0.86667,0.13731,0.05348,1.39003,4.29631,1.77858,0.000106733,0.000106733,0.000106733
5,3.95255,1.41255,3.75629,1.66813,0.00493,0.93333,0.23402,0.10086,1.32116,4.18168,1.70439,0.000134456,0.000134456,0.000134456
6,4.6909,1.33826,3.47555,1.61245,0.00487,0.93333,0.28145,0.12595,1.26311,4.03408,1.65279,0.000161585,0.000161585,0.000161585
7,5.41701,1.33796,3.23929,1.63016,0.00492,0.9,0.1919,0.08456,1.32684,3.93662,1.70881,0.00018812,0.00018812,0.00018812
8,6.14049,1.27102,3.12494,1.6039,0.00462,0.86667,0.16754,0.06426,1.43507,3.78195,1.84289,0.000214061,0.000214061,0.000214061
9,6.8544,1.14559,2.99424,1.52853,0.00441,0.825,0.16006,0.07394,1.48341,3.54609,1.94371,0.000239408,0.000239408,0.000239408
10,7.56624,1.15624,2.78064,1.53856,0.00487,0.9,0.1849,0.09052,1.61667,3.51921,2.09902,0.000264161,0.000264161,0.000264161
11,8.27698,1.19163,2.57987,1.48738,0.00427,0.86667,0.17225,0.0792,1.58856,3.43483,2.01378,0.00028832,0.00028832,0.00028832
12,8.99075,1.24491,2.58917,1.55415,0.02952,0.83333,0.24535,0.13858,1.39336,3.25356,1.83625,0.000311885,0.000311885,0.000311885
13,9.79878,1.15795,2.33029,1.49137,0.79324,0.27778,0.32429,0.15531,1.55303,3.19403,1.97483,0.000334856,0.000334856,0.000334856
14,10.5215,1.29889,2.42139,1.59156,0.00441,0.83333,0.28972,0.12455,1.50475,3.23065,1.93028,0.000357233,0.000357233,0.000357233
15,11.2339,1.17817,2.1544,1.41793,0.83483,0.14826,0.29206,0.15364,1.41796,3.18584,1.83746,0.000379016,0.000379016,0.000379016
16,11.9468,1.12703,2.16644,1.42948,0.00473,0.96667,0.28383,0.16118,1.55486,3.18305,1.91471,0.000400205,0.000400205,0.000400205
17,12.6632,1.12661,2.08917,1.42973,0.00463,0.925,0.30765,0.17534,1.48733,3.28384,1.86663,0.0004208,0.0004208,0.0004208
18,13.3793,1.10804,2.01522,1.41485,0.00497,0.89167,0.31359,0.1593,1.40054,3.31718,1.80459,0.000440801,0.000440801,0.000440801
19,14.0794,1.07032,1.97087,1.35384,0.00515,0.89167,0.27022,0.11088,1.4295,3.3645,1.82159,0.000460208,0.000460208,0.000460208
20,14.7836,1.06779,1.92758,1.34675,0.00466,0.83889,0.24876,0.11311,1.63801,3.37763,2.0349,0.000479021,0.000479021,0.000479021
21,15.4837,1.03783,1.77148,1.30662,0.41215,0.11735,0.27152,0.13048,1.69108,3.2414,2.09154,0.00049724,0.00049724,0.00049724
22,16.1944,1.01296,1.75091,1.31502,0.38352,0.16667,0.34591,0.1487,1.64188,3.16139,2.06553,0.000514865,0.000514865,0.000514865
23,16.8923,1.10575,1.81041,1.38692,0.60673,0.16667,0.35448,0.15316,1.63549,3.14522,2.04253,0.000531896,0.000531896,0.000531896
24,17.602,1.05696,1.80262,1.36772,0.69788,0.123,0.36431,0.17218,1.58592,3.17888,2.00955,0.000548333,0.000548333,0.000548333
25,18.3042,1.05143,1.78634,1.33161,0.6433,0.1857,0.35137,0.15529,1.58438,3.15461,1.93989,0.000564176,0.000564176,0.000564176
26,19.0213,1.07217,1.68526,1.32567,0.47486,0.25873,0.31922,0.15486,1.57402,3.05164,1.9297,0.000579425,0.000579425,0.000579425
27,19.7344,1.01875,1.63406,1.29416,0.3972,0.22836,0.2717,0.1315,1.62231,3.05649,1.97686,0.00059408,0.00059408,0.00059408
28,20.4379,0.94883,1.57227,1.2646,0.64595,0.28736,0.34124,0.14974,1.7718,3.05571,2.23846,0.000608141,0.000608141,0.000608141
29,21.1356,0.95917,1.52945,1.28283,0.4264,0.14651,0.27767,0.1302,1.74759,3.13973,2.21776,0.000621608,0.000621608,0.000621608
30,21.8418,0.91331,1.55073,1.25559,0.61657,0.14167,0.26589,0.09856,1.90953,3.19538,2.21239,0.000634481,0.000634481,0.000634481
