epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60339,1.48184,4.05269,1.90876,0.00478,0.89441,0.08607,0.02385,1.57622,4.28583,2.09887,0.00011,0.00011,0.00011
2,8.03988,1.31417,3.61211,1.69247,0.00495,0.96623,0.15896,0.07141,1.56544,3.73033,2.10239,0.000229772,0.000229772,0.000229772
3,11.4724,1.2962,3.09521,1.6599,0.00472,0.88947,0.17175,0.07297,1.81999,3.37904,2.25394,0.000349307,0.000349307,0.000349307
4,14.8991,1.38443,2.66757,1.67761,0.73951,0.01449,0.16935,0.0652,1.79429,3.57931,2.39669,0.000468604,0.000468604,0.000468604
5,18.2769,1.29531,2.52252,1.57188,0.76821,0.07473,0.18376,0.06595,1.94536,3.60744,2.62361,0.000587664,0.000587664,0.000587664
6,21.6468,1.26239,2.28405,1.5511,0.26137,0.16033,0.16082,0.05718,1.96088,3.57661,2.65868,0.000706485,0.000706485,0.000706485
7,25.0131,1.23708,2.15387,1.51336,0.23511,0.13171,0.14193,0.06702,2.26407,3.22079,2.82279,0.00082507,0.00082507,0.00082507
8,28.3769,1.24571,2.05212,1.52601,0.55562,0.04604,0.08017,0.02795,2.29372,3.1871,2.80551,0.000943416,0.000943416,0.000943416
9,31.9509,1.25004,1.99935,1.53519,0.29295,0.15363,0.10734,0.04014,2.30658,3.29911,2.81231,0.00099208,0.00099208,0.00099208
10,35.6164,1.25723,1.95662,1.52556,0.40269,0.06481,0.07579,0.02091,2.32735,3.66311,2.85923,0.00099109,0.00099109,0.00099109
11,39.0022,1.26321,1.94542,1.52788,0.07789,0.18774,0.0605,0.02277,2.26156,3.95476,2.74605,0.0009901,0.0009901,0.0009901
12,42.3631,1.18255,1.72083,1.45158,0.18443,0.16324,0.09708,0.03423,2.39778,3.43698,3.04455,0.00098911,0.00098911,0.00098911
13,45.724,1.13765,1.62256,1.41805,0.08158,0.15815,0.12358,0.04791,2.46884,3.43089,3.26938,0.00098812,0.00098812,0.00098812
14,49.0727,1.21471,1.70287,1.49881,0.05201,0.13259,0.05768,0.01745,2.59835,3.4762,3.47939,0.00098713,0.00098713,0.00098713
15,52.424,1.17539,1.55803,1.45237,0.16888,0.28051,0.1859,0.05815,2.33743,3.77822,3.37045,0.00098614,0.00098614,0.00098614
